,name,label,issue,edge
0,Anlerndaten (1).jpg,1.0,0.0,0.0
1,Anlerndaten (10).jpg,1.0,0.0,0.0
2,Anlerndaten (100).jpg,1.0,1.0,0.0
3,Anlerndaten (1000).jpg,1.0,0.0,0.0
4,Anlerndaten (1001).jpg,1.0,0.0,0.0
5,Anlerndaten (1002).jpg,0.0,0.0,0.0
6,Anlerndaten (1003).jpg,0.0,0.0,0.0
7,Anlerndaten (1004).jpg,2.0,1.0,0.0
8,Anlerndaten (1005).jpg,0.0,0.0,0.0
9,Anlerndaten (1006).jpg,1.0,0.0,0.0
10,Anlerndaten (1007).jpg,1.0,0.0,0.0
11,Anlerndaten (1008).jpg,1.0,0.0,0.0
12,Anlerndaten (1009).jpg,2.0,0.0,0.0
13,Anlerndaten (101).jpg,2.0,1.0,0.0
14,Anlerndaten (1010).jpg,1.0,0.0,0.0
15,Anlerndaten (1011).jpg,2.0,0.0,0.0
16,Anlerndaten (1012).jpg,0.0,0.0,0.0
17,Anlerndaten (1013).jpg,1.0,1.0,0.0
18,Anlerndaten (1014).jpg,1.0,0.0,0.0
19,Anlerndaten (1015).jpg,2.0,0.0,0.0
20,Anlerndaten (1016).jpg,2.0,1.0,0.0
21,Anlerndaten (1017).jpg,0.0,0.0,0.0
22,Anlerndaten (1018).jpg,0.0,0.0,0.0
23,Anlerndaten (1019).jpg,0.0,0.0,0.0
24,Anlerndaten (102).jpg,2.0,0.0,0.0
25,Anlerndaten (1020).jpg,0.0,0.0,0.0
26,Anlerndaten (1021).jpg,1.0,0.0,0.0
27,Anlerndaten (1022).jpg,0.0,0.0,0.0
28,Anlerndaten (1023).jpg,0.0,0.0,0.0
29,Anlerndaten (1024).jpg,1.0,0.0,0.0
30,Anlerndaten (1025).jpg,0.0,0.0,0.0
31,Anlerndaten (1026).jpg,1.0,0.0,0.0
32,Anlerndaten (1027).jpg,0.0,0.0,0.0
33,Anlerndaten (1028).jpg,1.0,0.0,0.0
34,Anlerndaten (1029).jpg,1.0,0.0,0.0
35,Anlerndaten (103).jpg,2.0,0.0,0.0
36,Anlerndaten (1030).jpg,0.0,0.0,0.0
37,Anlerndaten (1031).jpg,1.0,0.0,0.0
38,Anlerndaten (1032).jpg,1.0,0.0,0.0
39,Anlerndaten (1033).jpg,1.0,0.0,0.0
40,Anlerndaten (1034).jpg,1.0,0.0,0.0
41,Anlerndaten (1035).jpg,1.0,0.0,0.0
42,Anlerndaten (1036).jpg,0.0,0.0,0.0
43,Anlerndaten (1037).jpg,2.0,0.0,0.0
44,Anlerndaten (1038).jpg,1.0,0.0,0.0
45,Anlerndaten (1039).jpg,1.0,0.0,0.0
46,Anlerndaten (104).jpg,2.0,1.0,0.0
47,Anlerndaten (1040).jpg,0.0,0.0,0.0
48,Anlerndaten (1041).jpg,2.0,0.0,0.0
49,Anlerndaten (1042).jpg,2.0,1.0,0.0
50,Anlerndaten (1043).jpg,0.0,0.0,0.0
51,Anlerndaten (1044).jpg,0.0,0.0,0.0
