name,count,edge,different colors,one color,transparent,inside,overlapping,dark color,open lid,synthesized
cluttered/Anlerndaten (568).jpg,2,0,0,1,0,0,0,0,0,0
presorted/trial (1544).jpg,2,0,1,0,0,0,1,0,0,0
presorted/trial (1673).jpg,1,0,0,0,0,0,0,0,0,0
cluttered/Anlerndaten (454).jpg,1,0,0,0,1,0,0,0,0,0
cluttered/Anlerndaten (184).jpg,1,0,0,0,0,0,0,0,0,0
cluttered/Anlerndaten (668).jpg,1,0,0,0,0,0,0,0,0,0
cluttered/Anlerndaten (253).jpg,1,0,0,0,0,0,0,0,0,0
presorted/trial (1321).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1036).jpg,1,0,0,0,0,0,0,0,0,0
harder_samples/Anlernbilder (58).jpg,2,0,1,0,0,0,1,0,0,0
presorted/trial (1504).jpg,2,0,1,0,1,1,0,0,0,0
presorted/trial (292).jpg,0,0,0,0,0,0,0,0,0,0
harder_samples/Anlernbilder (484).jpg,1,0,0,0,0,0,0,0,0,0
cluttered/Anlerndaten (707).jpg,2,0,0,1,0,0,0,0,0,0
harder_samples/Anlernbilder (5).jpg,1,0,0,0,0,0,0,0,0,0
presorted/trial (655).jpg,1,0,0,0,0,0,0,0,0,0
cluttered/Anlerndaten (855).jpg,1,0,0,0,0,0,0,0,0,0
presorted/trial (1646).jpg,1,0,0,0,0,0,0,0,0,0
cluttered/Anlerndaten (179).jpg,1,0,0,0,0,0,0,0,0,0
cluttered/Anlerndaten (66).jpg,1,0,0,0,0,0,0,0,0,0
presorted/trial (1436).jpg,2,0,1,0,0,0,1,0,0,0
cluttered/Anlerndaten (464).jpg,3,0,1,0,0,0,1,0,0,0
presorted/trial (1434).jpg,1,0,0,0,0,0,0,0,0,0
presorted/trial (510).jpg,1,0,0,0,0,0,0,0,0,0
presorted/trial (1140).jpg,1,0,0,0,1,0,0,0,0,0
harder_samples/Anlernbilder (164).jpg,3,0,1,0,0,0,1,0,0,0
cluttered/Anlerndaten (271).jpg,1,0,0,0,0,0,0,0,0,0
presorted/trial (675).jpg,1,0,0,0,0,0,0,0,0,0
cluttered/Anlerndaten (49).jpg,0,0,0,0,0,0,0,0,0,0
harder_samples/Anlernbilder (173).jpg,2,0,1,0,0,0,1,0,0,0
cluttered/Anlerndaten (1022).jpg,0,0,0,0,0,0,0,0,0,0
