name,count,edge,different colors,one color,transparent,inside,overlapping,dark color,open lid,synthesized
presorted/trial (1281).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1159).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1443).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1702).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1237).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (731).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1576).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1497).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1035).jpg,0,0,0,0,0,0,0,0,0,0
cluttered/Anlerndaten (1002).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (34).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1303).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (118).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1427).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (681).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (556).jpg,0,0,0,0,0,0,0,0,0,0
cluttered/Anlerndaten (136).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1579).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1166).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1491).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (256).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1580).jpg,0,0,0,0,0,0,0,0,0,0
cluttered/Anlerndaten (856).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1682).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (591).jpg,0,0,0,0,0,0,0,0,0,0
cluttered/Anlerndaten (1048).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1551).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1399).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1214).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1432).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (592).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1397).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1536).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (742).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1057).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1679).jpg,0,0,0,0,0,0,0,0,0,0
cluttered/Anlerndaten (1030).jpg,0,0,0,0,0,0,0,0,0,0
cluttered/Anlerndaten (890).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1270).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1604).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (87).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (368).jpg,0,0,0,0,0,0,0,0,0,0
cluttered/Anlerndaten (797).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (894).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1340).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (95).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (664).jpg,0,0,0,0,0,0,0,0,0,0
cluttered/Anlerndaten (17).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1216).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1378).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1141).jpg,0,0,0,0,0,0,0,0,0,0
cluttered/Anlerndaten (1040).jpg,0,0,0,0,0,0,0,0,0,0
cluttered/Anlerndaten (243).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (846).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1232).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1112).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1234).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1577).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (10).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (366).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (833).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (639).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1161).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1063).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1467).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1578).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1583).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (555).jpg,0,0,0,0,0,0,0,0,0,0
cluttered/Anlerndaten (666).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1071).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1414).jpg,0,0,0,0,0,0,0,0,0,0
cluttered/Anlerndaten (291).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (695).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1383).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1384).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (951).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (808).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1012).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1032).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (363).jpg,0,0,0,0,0,0,0,0,0,0
cluttered/Anlerndaten (461).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1323).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1587).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (485).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1194).jpg,0,0,0,0,0,0,0,0,0,0
cluttered/Anlerndaten (1023).jpg,0,0,0,0,0,0,0,0,0,0
cluttered/Anlerndaten (742).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (636).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1635).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (913).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (486).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1530).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1581).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1076).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1424).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1046).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (195).jpg,0,0,0,0,0,0,0,0,0,0
cluttered/Anlerndaten (854).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1540).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (888).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1415).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (444).jpg,0,0,0,0,0,0,0,0,0,0
presorted/trial (1151).jpg,0,0,0,0,0,0,0,0,0,0
cluttered/Anlerndaten (885).jpg,0,0,0,0,0,0,0,0,0,0
cluttered/Anlerndaten (940).jpg,0,0,0,0,0,0,0,0,0,0
